Segmentation List:
1: X= 11 | Y= 34 | Pose= Vertical | Length= 759
140: X= 123 | Y= 398 | Pose= Vertical | Length= 2
141: X= 123 | Y= 399 | Pose= Vertical | Length= 1
142: X= 124 | Y= 359 | Pose= Vertical | Length= 2
143: X= 124 | Y= 378 | Pose= Vertical | Length= 3
144: X= 124 | Y= 389 | Pose= Horizontal | Length= 4
145: X= 124 | Y= 394 | Pose= Horizontal | Length= 4
146: X= 125 | Y= 351 | Pose= Horizontal | Length= 8
147: X= 125 | Y= 392 | Pose= Vertical | Length= 2
148: X= 125 | Y= 394 | Pose= Vertical | Length= 2
149: X= 126 | Y= 339 | Pose= Horizontal | Length= 13
150: X= 126 | Y= 377 | Pose= Vertical | Length= 2
151: X= 126 | Y= 393 | Pose= Vertical | Length= 1
152: X= 127 | Y= 337 | Pose= Horizontal | Length= 3
153: X= 127 | Y= 367 | Pose= Horizontal | Length= 10
154: X= 128 | Y= 336 | Pose= Vertical | Length= 3
155: X= 128 | Y= 337 | Pose= Vertical | Length= 1
156: X= 128 | Y= 358 | Pose= Horizontal | Length= 10
157: X= 129 | Y= 319 | Pose= Vertical | Length= 1
158: X= 129 | Y= 346 | Pose= Horizontal | Length= 13
159: X= 129 | Y= 459 | Pose= Vertical | Length= 4
160: X= 129 | Y= 460 | Pose= Horizontal | Length= 2
161: X= 130 | Y= 337 | Pose= Horizontal | Length= 10
162: X= 130 | Y= 461 | Pose= Vertical | Length= 3
163: X= 131 | Y= 323 | Pose= Horizontal | Length= 2
164: X= 132 | Y= 319 | Pose= Vertical | Length= 13
165: X= 132 | Y= 324 | Pose= Vertical | Length= 13
166: X= 132 | Y= 460 | Pose= Vertical | Length= 1
167: X= 134 | Y= 464 | Pose= Horizontal | Length= 5
168: X= 135 | Y= 464 | Pose= Vertical | Length= 2
169: X= 135 | Y= 468 | Pose= Vertical | Length= 2
170: X= 136 | Y= 457 | Pose= Horizontal | Length= 7
171: X= 136 | Y= 469 | Pose= Vertical | Length= 8
172: X= 137 | Y= 448 | Pose= Vertical | Length= 3
173: X= 137 | Y= 449 | Pose= Horizontal | Length= 2
174: X= 137 | Y= 457 | Pose= Vertical | Length= 2
175: X= 138 | Y= 450 | Pose= Vertical | Length= 2
176: X= 138 | Y= 458 | Pose= Vertical | Length= 2
177: X= 138 | Y= 460 | Pose= Vertical | Length= 1
178: X= 139 | Y= 449 | Pose= Vertical | Length= 1
179: X= 139 | Y= 459 | Pose= Vertical | Length= 5
180: X= 140 | Y= 463 | Pose= Vertical | Length= 2
181: X= 142 | Y= 390 | Pose= Vertical | Length= 4
182: X= 142 | Y= 391 | Pose= Horizontal | Length= 2
183: X= 143 | Y= 392 | Pose= Horizontal | Length= 2
184: X= 143 | Y= 458 | Pose= Vertical | Length= 3
185: X= 143 | Y= 470 | Pose= Vertical | Length= 5
186: X= 144 | Y= 320 | Pose= Vertical | Length= 9
187: X= 144 | Y= 325 | Pose= Vertical | Length= 11
188: X= 144 | Y= 393 | Pose= Vertical | Length= 2
189: X= 144 | Y= 450 | Pose= Vertical | Length= 5
190: X= 144 | Y= 451 | Pose= Horizontal | Length= 4
191: X= 144 | Y= 515 | Pose= Vertical | Length= 4
192: X= 144 | Y= 516 | Pose= Horizontal | Length= 2
193: X= 145 | Y= 391 | Pose= Horizontal | Length= 2
194: X= 145 | Y= 454 | Pose= Vertical | Length= 4
195: X= 145 | Y= 459 | Pose= Horizontal | Length= 2
196: X= 145 | Y= 469 | Pose= Vertical | Length= 2
197: X= 145 | Y= 517 | Pose= Vertical | Length= 3
198: X= 146 | Y= 460 | Pose= Vertical | Length= 4
199: X= 147 | Y= 471 | Pose= Vertical | Length= 3
200: X= 147 | Y= 516 | Pose= Vertical | Length= 1
201: X= 148 | Y= 447 | Pose= Vertical | Length= 4
202: X= 148 | Y= 448 | Pose= Horizontal | Length= 2
203: X= 148 | Y= 451 | Pose= Horizontal | Length= 3
204: X= 149 | Y= 449 | Pose= Vertical | Length= 3
205: X= 149 | Y= 461 | Pose= Horizontal | Length= 3
206: X= 149 | Y= 469 | Pose= Horizontal | Length= 2
207: X= 149 | Y= 472 | Pose= Vertical | Length= 6
208: X= 149 | Y= 536 | Pose= Vertical | Length= 7
209: X= 149 | Y= 537 | Pose= Horizontal | Length= 4
210: X= 150 | Y= 448 | Pose= Vertical | Length= 2
211: X= 150 | Y= 463 | Pose= Vertical | Length= 2
212: X= 150 | Y= 470 | Pose= Vertical | Length= 4
213: X= 150 | Y= 540 | Pose= Vertical | Length= 2
214: X= 151 | Y= 445 | Pose= Vertical | Length= 2
215: X= 151 | Y= 446 | Pose= Vertical | Length= 1
216: X= 151 | Y= 450 | Pose= Horizontal | Length= 2
217: X= 151 | Y= 460 | Pose= Horizontal | Length= 3
218: X= 151 | Y= 532 | Pose= Horizontal | Length= 4
219: X= 151 | Y= 541 | Pose= Vertical | Length= 4
220: X= 152 | Y= 319 | Pose= Vertical | Length= 4
221: X= 152 | Y= 440 | Pose= Horizontal | Length= 5
222: X= 152 | Y= 451 | Pose= Horizontal | Length= 10
223: X= 152 | Y= 464 | Pose= Horizontal | Length= 6
224: X= 152 | Y= 471 | Pose= Vertical | Length= 1
225: X= 152 | Y= 532 | Pose= Vertical | Length= 2
226: X= 152 | Y= 535 | Pose= Vertical | Length= 1
227: X= 152 | Y= 537 | Pose= Horizontal | Length= 3
228: X= 153 | Y= 435 | Pose= Horizontal | Length= 6
229: X= 153 | Y= 459 | Pose= Vertical | Length= 1
230: X= 153 | Y= 533 | Pose= Horizontal | Length= 2
231: X= 154 | Y= 322 | Pose= Horizontal | Length= 3
232: X= 154 | Y= 434 | Pose= Vertical | Length= 5
233: X= 154 | Y= 435 | Pose= Vertical | Length= 1
234: X= 154 | Y= 461 | Pose= Horizontal | Length= 9
235: X= 154 | Y= 471 | Pose= Vertical | Length= 2
236: X= 154 | Y= 473 | Pose= Vertical | Length= 4
237: X= 154 | Y= 474 | Pose= Horizontal | Length= 2
238: X= 154 | Y= 534 | Pose= Horizontal | Length= 2
239: X= 154 | Y= 538 | Pose= Horizontal | Length= 3
240: X= 155 | Y= 320 | Pose= Horizontal | Length= 3
241: X= 155 | Y= 451 | Pose= Horizontal | Length= 11
242: X= 155 | Y= 469 | Pose= Horizontal | Length= 2
243: X= 155 | Y= 475 | Pose= Vertical | Length= 2
244: X= 155 | Y= 537 | Pose= Horizontal | Length= 2
245: X= 156 | Y= 451 | Pose= Vertical | Length= 2
246: X= 156 | Y= 476 | Pose= Vertical | Length= 2
247: X= 156 | Y= 481 | Pose= Horizontal | Length= 4
248: X= 156 | Y= 488 | Pose= Vertical | Length= 4
249: X= 156 | Y= 489 | Pose= Horizontal | Length= 2
250: X= 156 | Y= 494 | Pose= Horizontal | Length= 3
251: X= 156 | Y= 520 | Pose= Vertical | Length= 3
252: X= 156 | Y= 521 | Pose= Horizontal | Length= 2
253: X= 157 | Y= 450 | Pose= Vertical | Length= 2
254: X= 157 | Y= 474 | Pose= Vertical | Length= 7
255: X= 157 | Y= 477 | Pose= Vertical | Length= 2
256: X= 157 | Y= 481 | Pose= Vertical | Length= 2
257: X= 157 | Y= 484 | Pose= Vertical | Length= 3
258: X= 157 | Y= 490 | Pose= Horizontal | Length= 5
259: X= 157 | Y= 496 | Pose= Vertical | Length= 2
260: X= 157 | Y= 522 | Pose= Vertical | Length= 2
261: X= 158 | Y= 435 | Pose= Horizontal | Length= 3
262: X= 158 | Y= 440 | Pose= Horizontal | Length= 3
263: X= 158 | Y= 444 | Pose= Horizontal | Length= 6
264: X= 158 | Y= 478 | Pose= Horizontal | Length= 3
265: X= 158 | Y= 489 | Pose= Vertical | Length= 4
266: X= 158 | Y= 490 | Pose= Horizontal | Length= 2
267: X= 158 | Y= 495 | Pose= Vertical | Length= 2
268: X= 158 | Y= 521 | Pose= Vertical | Length= 1
269: X= 159 | Y= 437 | Pose= Vertical | Length= 3
270: X= 159 | Y= 438 | Pose= Vertical | Length= 1
271: X= 159 | Y= 440 | Pose= Horizontal | Length= 5
272: X= 159 | Y= 475 | Pose= Vertical | Length= 1
273: X= 159 | Y= 480 | Pose= Vertical | Length= 1
274: X= 159 | Y= 482 | Pose= Vertical | Length= 2
275: X= 159 | Y= 483 | Pose= Vertical | Length= 5
276: X= 159 | Y= 485 | Pose= Vertical | Length= 19
277: X= 159 | Y= 486 | Pose= Vertical | Length= 6
278: X= 159 | Y= 487 | Pose= Vertical | Length= 1
279: X= 159 | Y= 491 | Pose= Horizontal | Length= 4
280: X= 160 | Y= 441 | Pose= Vertical | Length= 3
281: X= 160 | Y= 481 | Pose= Vertical | Length= 4
282: X= 161 | Y= 435 | Pose= Vertical | Length= 2
283: X= 161 | Y= 436 | Pose= Vertical | Length= 1
284: X= 161 | Y= 490 | Pose= Vertical | Length= 2
285: X= 162 | Y= 433 | Pose= Vertical | Length= 4
286: X= 162 | Y= 434 | Pose= Vertical | Length= 1
287: X= 162 | Y= 438 | Pose= Vertical | Length= 1
288: X= 162 | Y= 440 | Pose= Vertical | Length= 5
289: X= 162 | Y= 476 | Pose= Horizontal | Length= 5
290: X= 162 | Y= 491 | Pose= Vertical | Length= 3
291: X= 163 | Y= 436 | Pose= Horizontal | Length= 2
292: X= 163 | Y= 475 | Pose= Vertical | Length= 2
293: X= 163 | Y= 477 | Pose= Vertical | Length= 2
294: X= 163 | Y= 479 | Pose= Vertical | Length= 3
295: X= 163 | Y= 482 | Pose= Vertical | Length= 1
296: X= 163 | Y= 487 | Pose= Vertical | Length= 3
297: X= 163 | Y= 488 | Pose= Vertical | Length= 3
298: X= 163 | Y= 489 | Pose= Vertical | Length= 1
299: X= 163 | Y= 500 | Pose= Horizontal | Length= 3
300: X= 164 | Y= 476 | Pose= Vertical | Length= 1
301: X= 164 | Y= 480 | Pose= Vertical | Length= 2
302: X= 164 | Y= 492 | Pose= Vertical | Length= 5
303: X= 164 | Y= 496 | Pose= Horizontal | Length= 5
304: X= 164 | Y= 502 | Pose= Vertical | Length= 3
305: X= 165 | Y= 434 | Pose= Horizontal | Length= 2
306: X= 165 | Y= 478 | Pose= Vertical | Length= 4
307: X= 165 | Y= 484 | Pose= Vertical | Length= 8
308: X= 165 | Y= 489 | Pose= Vertical | Length= 1
309: X= 165 | Y= 493 | Pose= Vertical | Length= 4
310: X= 165 | Y= 494 | Pose= Horizontal | Length= 3
311: X= 166 | Y= 435 | Pose= Horizontal | Length= 5
312: X= 166 | Y= 496 | Pose= Vertical | Length= 2
313: X= 166 | Y= 499 | Pose= Vertical | Length= 4
314: X= 166 | Y= 500 | Pose= Horizontal | Length= 2
315: X= 167 | Y= 392 | Pose= Horizontal | Length= 14
316: X= 168 | Y= 323 | Pose= Vertical | Length= 14
317: X= 168 | Y= 324 | Pose= Horizontal | Length= 2
318: X= 168 | Y= 391 | Pose= Vertical | Length= 3
319: X= 168 | Y= 392 | Pose= Vertical | Length= 1
320: X= 168 | Y= 405 | Pose= Vertical | Length= 2
321: X= 168 | Y= 479 | Pose= Horizontal | Length= 5
322: X= 168 | Y= 490 | Pose= Vertical | Length= 5
323: X= 168 | Y= 494 | Pose= Vertical | Length= 2
324: X= 169 | Y= 325 | Pose= Vertical | Length= 6
325: X= 169 | Y= 346 | Pose= Horizontal | Length= 3
326: X= 169 | Y= 404 | Pose= Vertical | Length= 3
327: X= 169 | Y= 480 | Pose= Vertical | Length= 2
328: X= 169 | Y= 481 | Pose= Vertical | Length= 1
329: X= 169 | Y= 486 | Pose= Vertical | Length= 1
330: X= 169 | Y= 489 | Pose= Vertical | Length= 5
331: X= 169 | Y= 491 | Pose= Vertical | Length= 1
332: X= 169 | Y= 496 | Pose= Horizontal | Length= 3
333: X= 170 | Y= 345 | Pose= Vertical | Length= 5
334: X= 170 | Y= 346 | Pose= Vertical | Length= 1
335: X= 170 | Y= 348 | Pose= Vertical | Length= 5
336: X= 170 | Y= 392 | Pose= Horizontal | Length= 4
337: X= 170 | Y= 478 | Pose= Vertical | Length= 4
338: X= 170 | Y= 479 | Pose= Vertical | Length= 1
339: X= 170 | Y= 482 | Pose= Horizontal | Length= 2
340: X= 170 | Y= 495 | Pose= Vertical | Length= 2
341: X= 170 | Y= 496 | Pose= Vertical | Length= 1
342: X= 170 | Y= 503 | Pose= Horizontal | Length= 5
343: X= 171 | Y= 395 | Pose= Horizontal | Length= 5
344: X= 171 | Y= 402 | Pose= Vertical | Length= 3
345: X= 171 | Y= 403 | Pose= Vertical | Length= 1
346: X= 171 | Y= 487 | Pose= Vertical | Length= 3
347: X= 171 | Y= 488 | Pose= Vertical | Length= 1
348: X= 171 | Y= 492 | Pose= Horizontal | Length= 3
349: X= 171 | Y= 503 | Pose= Vertical | Length= 3
350: X= 171 | Y= 505 | Pose= Vertical | Length= 2
351: X= 171 | Y= 507 | Pose= Vertical | Length= 4
352: X= 172 | Y= 399 | Pose= Vertical | Length= 2
353: X= 172 | Y= 460 | Pose= Horizontal | Length= 4
354: X= 172 | Y= 471 | Pose= Horizontal | Length= 4
355: X= 172 | Y= 492 | Pose= Horizontal | Length= 3
356: X= 172 | Y= 496 | Pose= Horizontal | Length= 4
357: X= 173 | Y= 400 | Pose= Horizontal | Length= 2
358: X= 173 | Y= 460 | Pose= Vertical | Length= 2
359: X= 173 | Y= 463 | Pose= Vertical | Length= 2
360: X= 173 | Y= 471 | Pose= Vertical | Length= 2
361: X= 173 | Y= 474 | Pose= Vertical | Length= 2
362: X= 173 | Y= 479 | Pose= Horizontal | Length= 2
363: X= 173 | Y= 488 | Pose= Vertical | Length= 1
364: X= 173 | Y= 494 | Pose= Vertical | Length= 2
365: X= 173 | Y= 496 | Pose= Vertical | Length= 2
366: X= 173 | Y= 499 | Pose= Vertical | Length= 5
367: X= 173 | Y= 504 | Pose= Vertical | Length= 2
368: X= 174 | Y= 326 | Pose= Vertical | Length= 7
369: X= 174 | Y= 346 | Pose= Horizontal | Length= 2
370: X= 174 | Y= 461 | Pose= Horizontal | Length= 2
371: X= 174 | Y= 464 | Pose= Vertical | Length= 3
372: X= 174 | Y= 472 | Pose= Horizontal | Length= 2
373: X= 174 | Y= 480 | Pose= Vertical | Length= 2
374: X= 174 | Y= 482 | Pose= Horizontal | Length= 3
375: X= 174 | Y= 490 | Pose= Vertical | Length= 1
376: X= 174 | Y= 495 | Pose= Vertical | Length= 1
377: X= 174 | Y= 505 | Pose= Horizontal | Length= 2
378: X= 175 | Y= 462 | Pose= Vertical | Length= 2
379: X= 175 | Y= 481 | Pose= Vertical | Length= 2
380: X= 175 | Y= 489 | Pose= Vertical | Length= 4
381: X= 175 | Y= 497 | Pose= Horizontal | Length= 2
382: X= 176 | Y= 463 | Pose= Vertical | Length= 1
383: X= 176 | Y= 482 | Pose= Horizontal | Length= 2
384: X= 176 | Y= 487 | Pose= Vertical | Length= 3
385: X= 176 | Y= 488 | Pose= Vertical | Length= 1
386: X= 176 | Y= 496 | Pose= Vertical | Length= 3
387: X= 177 | Y= 483 | Pose= Vertical | Length= 3
388: X= 177 | Y= 500 | Pose= Vertical | Length= 2
389: X= 178 | Y= 488 | Pose= Vertical | Length= 1
390: X= 178 | Y= 501 | Pose= Horizontal | Length= 6
391: X= 179 | Y= 484 | Pose= Vertical | Length= 3
392: X= 179 | Y= 486 | Pose= Vertical | Length= 2
393: X= 179 | Y= 499 | Pose= Vertical | Length= 1
394: X= 179 | Y= 502 | Pose= Horizontal | Length= 2
395: X= 179 | Y= 506 | Pose= Vertical | Length= 3
396: X= 180 | Y= 327 | Pose= Vertical | Length= 10
397: X= 180 | Y= 489 | Pose= Vertical | Length= 1
398: X= 180 | Y= 497 | Pose= Vertical | Length= 2
399: X= 180 | Y= 498 | Pose= Vertical | Length= 4
400: X= 180 | Y= 500 | Pose= Horizontal | Length= 2
401: X= 181 | Y= 324 | Pose= Vertical | Length= 7
402: X= 181 | Y= 485 | Pose= Vertical | Length= 4
403: X= 181 | Y= 496 | Pose= Vertical | Length= 4
404: X= 181 | Y= 505 | Pose= Vertical | Length= 3
405: X= 183 | Y= 491 | Pose= Vertical | Length= 6
406: X= 183 | Y= 497 | Pose= Vertical | Length= 1
407: X= 183 | Y= 504 | Pose= Vertical | Length= 3
408: X= 184 | Y= 486 | Pose= Vertical | Length= 2
409: X= 184 | Y= 501 | Pose= Vertical | Length= 3
410: X= 185 | Y= 487 | Pose= Horizontal | Length= 2
411: X= 185 | Y= 492 | Pose= Horizontal | Length= 2
412: X= 185 | Y= 497 | Pose= Horizontal | Length= 3
413: X= 185 | Y= 502 | Pose= Horizontal | Length= 2
414: X= 186 | Y= 488 | Pose= Vertical | Length= 4
415: X= 186 | Y= 493 | Pose= Vertical | Length= 2
416: X= 186 | Y= 499 | Pose= Vertical | Length= 9
417: X= 186 | Y= 500 | Pose= Vertical | Length= 1
418: X= 187 | Y= 321 | Pose= Vertical | Length= 5
419: X= 187 | Y= 322 | Pose= Horizontal | Length= 2
420: X= 187 | Y= 475 | Pose= Horizontal | Length= 5
421: X= 187 | Y= 492 | Pose= Vertical | Length= 1
422: X= 188 | Y= 475 | Pose= Vertical | Length= 2
423: X= 188 | Y= 479 | Pose= Vertical | Length= 3
424: X= 188 | Y= 490 | Pose= Vertical | Length= 1
425: X= 188 | Y= 497 | Pose= Horizontal | Length= 2
426: X= 189 | Y= 326 | Pose= Vertical | Length= 2
427: X= 189 | Y= 476 | Pose= Vertical | Length= 2
428: X= 189 | Y= 489 | Pose= Vertical | Length= 2
429: X= 189 | Y= 494 | Pose= Vertical | Length= 1
430: X= 189 | Y= 496 | Pose= Vertical | Length= 1
431: X= 189 | Y= 501 | Pose= Horizontal | Length= 5
432: X= 190 | Y= 325 | Pose= Vertical | Length= 4
433: X= 190 | Y= 477 | Pose= Horizontal | Length= 2
434: X= 190 | Y= 490 | Pose= Horizontal | Length= 4
435: X= 190 | Y= 495 | Pose= Vertical | Length= 4
436: X= 190 | Y= 501 | Pose= Vertical | Length= 3
437: X= 190 | Y= 505 | Pose= Vertical | Length= 3
438: X= 191 | Y= 322 | Pose= Horizontal | Length= 2
439: X= 191 | Y= 493 | Pose= Vertical | Length= 4
440: X= 191 | Y= 496 | Pose= Vertical | Length= 3
441: X= 191 | Y= 497 | Pose= Vertical | Length= 2
442: X= 191 | Y= 498 | Pose= Vertical | Length= 2
443: X= 191 | Y= 504 | Pose= Vertical | Length= 2
444: X= 192 | Y= 323 | Pose= Vertical | Length= 2
445: X= 192 | Y= 500 | Pose= Vertical | Length= 1
446: X= 192 | Y= 506 | Pose= Vertical | Length= 3
447: X= 193 | Y= 324 | Pose= Vertical | Length= 1
448: X= 193 | Y= 494 | Pose= Vertical | Length= 10
449: X= 193 | Y= 502 | Pose= Horizontal | Length= 2
450: X= 193 | Y= 507 | Pose= Horizontal | Length= 2
451: X= 194 | Y= 491 | Pose= Vertical | Length= 4
452: X= 194 | Y= 492 | Pose= Vertical | Length= 1
453: X= 194 | Y= 508 | Pose= Vertical | Length= 5
454: X= 195 | Y= 474 | Pose= Vertical | Length= 8
455: X= 195 | Y= 475 | Pose= Horizontal | Length= 3
456: X= 195 | Y= 521 | Pose= Vertical | Length= 6
457: X= 195 | Y= 522 | Pose= Horizontal | Length= 2
458: X= 196 | Y= 477 | Pose= Vertical | Length= 3
459: X= 196 | Y= 492 | Pose= Vertical | Length= 4
